gene	gene_symbol	cancer_relevance	rank_sum	average_rank	rank_std	method_ranks	appears_in_methods	n_methods	avg_composite_score	avg_feature_importance	delta_connectivity	median_composite_score	median_feature_importance	cluster_based_composite_score	cluster_based_feature_importance	consensus_rank
ENSG00000020181.18|ADGRA2	ADGRA2	non_cancer	61	30.500000	3.500000	{'median': 27, 'cluster_based': 34}	['median', 'cluster_based']	2	896.057043	0.006343	889.714148	895.931499	0.006217	896.182586	0.006468	30
ENSG00000133026.13|MYH10	MYH10	non_cancer	103	51.500000	28.500000	{'median': 80, 'cluster_based': 23}	['median', 'cluster_based']	2	782.724679	0.006334	776.390894	776.446766	0.000056	789.002591	0.012612	31
ENSG00000082641.16|NFE2L1	NFE2L1	non_cancer	111	55.500000	31.500000	{'median': 87, 'cluster_based': 24}	['median', 'cluster_based']	2	1245.310380	0.005833	1239.476952	1239.497630	0.000021	1251.123130	0.011646	32
ENSG00000114054.14|PCCB	PCCB	non_cancer	87	43.500000	17.500000	{'median': 61, 'cluster_based': 26}	['median', 'cluster_based']	2	748.816998	0.005526	743.290651	743.719304	0.000429	753.914693	0.010624	33
ENSG00000091136.15|LAMB1	LAMB1	cancer	96	48.000000	21.000000	{'median': 69, 'cluster_based': 27}	['median', 'cluster_based']	2	786.705303	0.005302	781.403114	781.693697	0.000291	791.716909	0.010314	34
ENSG00000164237.9|CMBL	CMBL	non_cancer	107	53.500000	25.500000	{'median': 79, 'cluster_based': 28}	['median', 'cluster_based']	2	1014.707921	0.005116	1009.592055	1009.673516	0.000081	1019.742327	0.010150	35
ENSG00000101098.13|RIMS4	RIMS4	non_cancer	79	39.500000	17.500000	{'median': 22, 'cluster_based': 57}	['median', 'cluster_based']	2	767.059845	0.004697	762.362548	770.795950	0.008433	763.323740	0.000961	36
ENSG00000100100.13|PIK3IP1	PIK3IP1	non_cancer	68	34.000000	2.000000	{'median': 32, 'cluster_based': 36}	['median', 'cluster_based']	2	944.778813	0.004616	940.163065	944.234510	0.004071	945.323117	0.005160	37
ENSG00000173692.14|PSMD1	PSMD1	non_cancer	68	34.000000	3.000000	{'median': 37, 'cluster_based': 31}	['median', 'cluster_based']	2	913.481048	0.004611	908.870093	911.343979	0.002474	915.618118	0.006748	38
ENSG00000167178.16|ISLR2	ISLR2	non_cancer	70	35.000000	5.000000	{'median': 30, 'cluster_based': 40}	['median', 'cluster_based']	2	978.820642	0.004300	974.520526	979.670158	0.005150	977.971127	0.003451	39
